area_code,area_desc,road_type_code,road_type_desc,road_section_code,road_section_desc,accident_type_code,accident_type_desc,vehicle_type_code,vehicle_type_desc,month_code,month_desc,year,observations
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,5,Cycles,4,April,2024,61
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,5,Cycles,5,May,2024,52
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,5,Cycles,6,June,2024,56
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,5,Cycles,7,July,2024,62
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,5,Cycles,8,August,2024,49
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,5,Cycles,9,September,2024,62
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,5,Cycles,10,October,2024,55
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,5,Cycles,11,November,2024,45
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,5,Cycles,12,December,2024,38
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,6,Mopeds,1,January,2024,3
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,6,Mopeds,2,February,2024,4
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,6,Mopeds,3,March,2024,5
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,6,Mopeds,4,April,2024,9
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,6,Mopeds,5,May,2024,4
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,6,Mopeds,6,June,2024,6
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,6,Mopeds,7,July,2024,15
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,6,Mopeds,8,August,2024,7
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,6,Mopeds,9,September,2024,17
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,6,Mopeds,10,October,2024,12
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,6,Mopeds,11,November,2024,14
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,6,Mopeds,12,December,2024,5
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,7,Motorcycles,1,January,2024,21
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,7,Motorcycles,2,February,2024,32
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,7,Motorcycles,3,March,2024,31
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,7,Motorcycles,4,April,2024,53
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,7,Motorcycles,5,May,2024,49
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,7,Motorcycles,6,June,2024,55
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,7,Motorcycles,7,July,2024,84
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,7,Motorcycles,8,August,2024,40
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,7,Motorcycles,9,September,2024,60
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,7,Motorcycles,10,October,2024,49
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,7,Motorcycles,11,November,2024,50
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,7,Motorcycles,12,December,2024,25
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,9,Other vehicles,1,January,2024,10
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,9,Other vehicles,2,February,2024,14
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,9,Other vehicles,3,March,2024,5
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,9,Other vehicles,4,April,2024,11
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,9,Other vehicles,5,May,2024,19
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,9,Other vehicles,6,June,2024,8
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,9,Other vehicles,7,July,2024,11
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,9,Other vehicles,8,August,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,9,Other vehicles,9,September,2024,3
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,9,Other vehicles,10,October,2024,12
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,9,Other vehicles,11,November,2024,10
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,9,Other vehicles,12,December,2024,15
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,0,Mini cars,3,March,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,1,Motor cars,1,January,2024,44
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,1,Motor cars,2,February,2024,42
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,1,Motor cars,3,March,2024,29
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,1,Motor cars,4,April,2024,31
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,1,Motor cars,5,May,2024,32
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,1,Motor cars,6,June,2024,30
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,1,Motor cars,7,July,2024,22
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,1,Motor cars,8,August,2024,16
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,1,Motor cars,9,September,2024,19
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,1,Motor cars,10,October,2024,37
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,1,Motor cars,11,November,2024,49
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,1,Motor cars,12,December,2024,35
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,2,Bus or trolley-bus,1,January,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,2,Bus or trolley-bus,4,April,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,2,Bus or trolley-bus,6,June,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,2,Bus or trolley-bus,7,July,2024,3
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,2,Bus or trolley-bus,10,October,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,2,Bus or trolley-bus,11,November,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,3,Tram,1,January,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,3,Tram,2,February,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,3,Tram,3,March,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,3,Tram,6,June,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,3,Tram,9,September,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,3,Tram,10,October,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,3,Tram,11,November,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,4,Trucks and motor units,1,January,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,4,Trucks and motor units,2,February,2024,4
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,4,Trucks and motor units,3,March,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,4,Trucks and motor units,5,May,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,4,Trucks and motor units,6,June,2024,4
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,4,Trucks and motor units,7,July,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,4,Trucks and motor units,8,August,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,4,Trucks and motor units,10,October,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,4,Trucks and motor units,11,November,2024,3
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,4,Trucks and motor units,12,December,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,5,Cycles,3,March,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,5,Cycles,4,April,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,5,Cycles,5,May,2024,3
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,5,Cycles,7,July,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,2,Vehicle-pedestrian accident,5,Cycles,8,August,2024,2
